Wavelength,n,k
193.787445,1.613666,0.505404
195.369293,1.611994,0.405104
196.951202,1.610362,0.325864
198.533112,1.608769,0.263033
200.115082,1.607215,0.213036
201.697083,1.605696,0.173113
203.279114,1.604214,0.141126
204.861176,1.602766,0.115413
206.443283,1.601351,0.094675
208.025421,1.599968,0.077898
209.607574,1.598617,0.064283
211.189774,1.597296,0.0532
212.772003,1.596004,0.044152
214.354248,1.594742,0.036743
215.936554,1.593507,0.03066
217.518875,1.592299,0.025652
219.101227,1.591117,0.021516
220.683594,1.589961,0.018093
222.265991,1.588829,0.015253
223.848434,1.587721,0.012889
225.430878,1.586637,0.010917
227.013382,1.585575,0.009268
228.595901,1.584536,0.007886
230.178436,1.583518,0.006725
231.761017,1.582521,0.005748
233.343628,1.581544,0.004923
234.926239,1.580587,0.004225
236.508881,1.579649,0.003634
238.091583,1.578729,0.003131
239.674271,1.577828,0.002704
241.256989,1.576945,0.002339
242.839752,1.576079,0.002027
244.422516,1.57523,0.00176
246.005295,1.574397,0.001531
247.588104,1.57358,0.001334
249.170944,1.572779,0.001165
250.753815,1.571993,0.001019
252.3367,1.571222,0.000892
253.919601,1.570465,0.000783
255.502533,1.569722,0.000688
257.08548,1.568993,0.000606
258.668427,1.568278,0.000534
260.251404,1.567575,0.000471
261.834412,1.566885,0.000417
263.41745,1.566208,0.000369
265.000488,1.565542,0.000327
266.583557,1.564889,0.000291
268.166626,1.564247,0.000259
269.749725,1.563617,0.00023
271.332825,1.562997,0.000205
272.915955,1.562388,0.000183
274.499115,1.56179,0.000164
276.082275,1.561202,0.000147
277.665466,1.560624,0.000132
279.248627,1.560056,0.000118
280.831848,1.559498,0.000106
282.41507,1.558949,0.000096
283.998291,1.558409,0.000086
285.581543,1.557878,0.000078
287.164795,1.557356,0.00007
288.748077,1.556842,0.000063
290.33136,1.556337,0.000057
291.914642,1.55584,0.000052
293.497986,1.555352,0.000047
295.081268,1.554871,0.000043
296.664612,1.554397,0.000039
298.247955,1.553931,0.000035
299.831299,1.553473,0.000032
301.414673,1.553022,0.000029
302.998016,1.552578,0.000027
304.581421,1.552141,0.000024
306.164795,1.55171,0.000022
307.748199,1.551287,0.00002
309.331604,1.550869,0.000019
310.914978,1.550459,0.000017
312.498413,1.550054,0.000016
314.081848,1.549655,0.000014
315.665253,1.549263,0.000013
317.248718,1.548876,0.000012
318.832153,1.548495,0.000011
320.415588,1.54812,0.00001
321.999023,1.547751,0.00001
323.582489,1.547386,0.000009
325.165955,1.547027,0.000008
326.74942,1.546674,0.000008
328.332855,1.546325,0.000007
329.916321,1.545981,0.000006
331.499817,1.545643,0.000006
333.083282,1.545309,0.000006
334.666748,1.54498,0.000005
336.250214,1.544655,0.000005
337.833679,1.544335,0.000004
339.417175,1.54402,0.000004
341.000641,1.543709,0.000004
342.584106,1.543402,0.000004
344.167572,1.5431,0.000003
345.751038,1.542802,0.000003
347.334534,1.542507,0.000003
348.917999,1.542217,0.000003
350.501465,1.541931,0.000003
352.0849,1.541648,0.000002
353.668396,1.54137,0.000002
355.251831,1.541095,0.000002
356.835266,1.540824,0.000002
358.418732,1.540556,0.000002
360.002167,1.540292,0.000002
361.585632,1.540031,0.000002
363.169037,1.539774,0.000001
364.752472,1.53952,0.000001
366.335876,1.539269,0.000001
367.919312,1.539022,0.000001
369.502716,1.538778,0.000001
371.086121,1.538537,0.000001
372.669495,1.538299,0.000001
374.252899,1.538064,0.000001
375.836273,1.537832,0.000001
377.419617,1.537603,0.000001
379.002991,1.537377,0.000001
380.586334,1.537153,0.000001
382.169678,1.536933,0.000001
383.752991,1.536715,0.000001
385.336334,1.5365,0.000001
386.919617,1.536287,0.000001
388.50293,1.536077,0.000001
390.086212,1.53587,0.000001
391.669464,1.535665,0.000001
393.252747,1.535462,0
394.835968,1.535262,0
396.419189,1.535065,0
398.002411,1.53487,0
399.585632,1.534677,0
401.168793,1.534486,0
402.751984,1.534298,0
404.335144,1.534112,0
405.918274,1.533928,0
407.501404,1.533746,0
409.084503,1.533566,0
410.667572,1.533388,0
412.250671,1.533213,0
413.83374,1.533039,0
415.416748,1.532868,0
416.999817,1.532698,0
418.582825,1.53253,0
420.165771,1.532365,0
421.748718,1.532201,0
423.331696,1.532039,0
424.914612,1.531878,0
426.497498,1.53172,0
428.080383,1.531563,0
