Wavelength,n,k
193.787445,2.176239,0.681645
195.369293,2.17769,0.669472
196.951202,2.178717,0.657821
198.533112,2.179358,0.646697
200.115082,2.17965,0.636106
201.697083,2.179626,0.62605
203.279114,2.179322,0.616531
204.861176,2.178773,0.607552
206.443283,2.178012,0.599111
208.025421,2.177073,0.591209
209.607574,2.175989,0.583845
211.189774,2.174793,0.577016
212.772003,2.173519,0.570718
214.354248,2.172199,0.564948
215.936554,2.170868,0.559701
217.518875,2.169558,0.554969
219.101227,2.168303,0.550745
220.683594,2.167138,0.54702
222.265991,2.166097,0.543784
223.848434,2.165215,0.541022
225.430878,2.164527,0.538722
227.013382,2.164068,0.536865
228.595901,2.163874,0.535433
230.178436,2.16398,0.534403
231.761017,2.164421,0.53375
233.343628,2.165233,0.533446
234.926239,2.166448,0.533459
236.508881,2.168101,0.533753
238.091583,2.170222,0.534288
239.674271,2.17284,0.535022
241.256989,2.175982,0.535906
242.839752,2.179669,0.536888
244.422516,2.183921,0.537914
246.005295,2.188751,0.538922
247.588104,2.194168,0.53985
249.170944,2.200172,0.540633
250.753815,2.206759,0.541202
252.3367,2.213915,0.541489
253.919601,2.221618,0.541423
255.502533,2.229838,0.540937
257.08548,2.238535,0.539964
258.668427,2.247662,0.538442
260.251404,2.257162,0.536312
261.834412,2.266968,0.533524
263.41745,2.277011,0.530036
265.000488,2.28721,0.525811
266.583557,2.297484,0.520828
268.166626,2.307747,0.515073
269.749725,2.31791,0.508545
271.332825,2.327888,0.501255
272.915955,2.337596,0.493223
274.499115,2.346954,0.484483
276.082275,2.355887,0.475078
277.665466,2.364328,0.465058
279.248627,2.372218,0.454484
280.831848,2.379509,0.443419
282.41507,2.386161,0.431934
283.998291,2.392144,0.420098
285.581543,2.397439,0.407986
287.164795,2.402037,0.395668
288.748077,2.405935,0.383214
290.33136,2.409142,0.37069
291.914642,2.411672,0.358161
293.497986,2.413546,0.345682
295.081268,2.414789,0.333307
296.664612,2.415431,0.321082
298.247955,2.415507,0.309048
299.831299,2.41505,0.297242
301.414673,2.414097,0.285692
302.998016,2.412686,0.274425
304.581421,2.410854,0.263459
306.164795,2.408638,0.25281
307.748199,2.406072,0.242489
309.331604,2.403193,0.232505
310.914978,2.400032,0.222861
312.498413,2.39662,0.213559
314.081848,2.392988,0.204599
315.665253,2.389162,0.195978
317.248718,2.385168,0.18769
318.832153,2.38103,0.17973
320.415588,2.376768,0.172092
321.999023,2.372404,0.164766
323.582489,2.367954,0.157744
325.165955,2.363436,0.151017
326.74942,2.358864,0.144575
328.332855,2.354253,0.138408
329.916321,2.349613,0.132507
331.499817,2.344957,0.126862
333.083282,2.340293,0.121461
334.666748,2.335631,0.116297
336.250214,2.330978,0.111359
337.833679,2.326341,0.106637
339.417175,2.321726,0.102123
341.000641,2.317138,0.097808
342.584106,2.312583,0.093682
344.167572,2.308064,0.089739
345.751038,2.303584,0.08597
347.334534,2.299147,0.082367
348.917999,2.294755,0.078922
350.501465,2.290411,0.07563
352.0849,2.286116,0.072483
353.668396,2.281873,0.069475
355.251831,2.277681,0.066599
356.835266,2.273542,0.06385
