eres,linewidth,imax,width,length
2.202161472,0.298874757,2.35E-16,34.43,53.78
1.643055631,0.087225319,7.84E-15,24.3222,91.7232
2.041273015,0.160000936,2.21E-15,34.3,73
1.967925926,0.150369531,9.85E-15,42,94
2.082038652,0.180289594,3.53E-15,42,80
1.465976341,0.084320654,3.66E-15,18.7431,90.0272
1.441374352,0.083257342,2.73E-15,17.2157,87.085
1.429989975,0.089417716,5.55E-15,20.1096,101.108
1.978529836,0.162572416,7.66E-15,41,91
1.464205826,0.080462,1.95E-15,16.3345,80.0435
2.128480865,0.22090581,3.05E-15,46.5,80.1
1.501686095,0.083338821,3.86E-15,19.2515,88.0567
1.442096776,0.086273505,4.19E-15,19.5465,93.904
1.626745609,0.085871563,7.06E-15,23.8222,90.2232
1.434568113,0.086475,4.12E-15,18.8727,95.0394
1.345869529,0.085455849,1.88E-15,16.0157,88.585
1.879886295,0.115475465,1.09E-14,35,93
1.428633389,0.086929371,4.27E-15,19.5465,95.404
2.123207792,0.21572281,3.29E-15,46.5,81
1.411809987,0.087106599,4.00E-15,18.5045,96.3664
2.036504734,0.178556938,7.10E-15,45,91
1.474103802,0.087091181,5.17E-15,20.2781,95.8711
2.079359173,0.190240501,4.62E-15,45,85
1.330345911,0.087930611,2.60E-15,16.5342,95.635
1.886282789,0.111206083,1.06E-14,35,92
1.480240996,0.083667335,3.61E-15,18.5254,89.0365
1.486917585,0.083284012,3.55E-15,18.5254,88.0365
1.841121338,0.083620137,4.04E-15,25.157,73.3432
2.036371615,0.149906272,2.07E-15,33.4,71.3
2.121484092,0.224719005,2.93E-15,46,80
1.638421133,0.083051626,5.87E-15,22.585,86.275
1.643686893,0.081730285,5.33E-15,22.3221,84.138
2.037646937,0.162975881,4.99E-15,41,84
1.912693569,0.498511517,6.49E-14,98,170
1.979697774,0.161868933,9.47E-15,43,94.7
1.923707821,0.11242406,3.86E-15,30,76
2.048063686,0.143943221,8.42E-16,28.5,61
1.947461539,0.153620076,1.24E-14,43,99
1.734128711,0.084178451,6.74E-15,25.0035,84.0057
2.079110893,0.171991477,6.50E-16,30,60
1.878029715,0.355981938,5.43E-14,82,158
2.115787573,0.205588429,2.89E-15,44,78.9
2.091929112,0.182892166,9.86E-16,33,65
1.667097566,0.081719078,5.52E-15,22.5221,83.638
1.876854545,0.424987979,6.13E-14,90,167
1.619752408,0.081609074,4.99E-15,21.5438,84.323
1.393179497,0.082125431,1.44E-15,15.5758,80.0872
1.730669341,0.080146756,5.00E-15,23.179,78.861
1.82581009,0.276805022,5.05E-14,69.5,153
1.446969394,0.083305107,2.87E-15,17.9225,87.0273
1.760009581,0.303528975,5.85E-14,72,166
1.723259791,0.310471566,6.16E-14,72,172
1.804409849,0.08050052,4.21E-15,24.157,74.3432
1.567511779,0.087123116,6.81E-15,22.5141,93.9
2.021308461,0.178190954,8.00E-15,45,93
2.093532409,0.187764714,2.14E-15,39,74.1
1.404137202,0.082418079,1.73E-15,16.0534,82.5011
1.75053266,0.196945002,4.22E-14,53,143
2.045637669,0.165919869,6.50E-15,44,88
2.140354765,0.234370809,3.06E-15,48.1,80.6
2.030544689,0.176380463,7.73E-15,45,92
1.723039929,0.080623994,5.26E-15,22.9822,80.1825
