wav,cscat,cabs
400,1.68597e-16,2.11748e-15
401,1.68225e-16,2.12036e-15
402,1.68557e-16,2.12689e-15
403,1.67566e-16,2.12455e-15
404,1.65262e-16,2.11434e-15
405,1.63423e-16,2.1078e-15
406,1.62904e-16,2.10968e-15
407,1.62577e-16,2.11219e-15
408,1.61141e-16,2.10722e-15
409,1.58923e-16,2.09753e-15
410,1.57255e-16,2.09183e-15
411,1.56565e-16,2.09246e-15
412,1.55915e-16,2.09287e-15
413,1.54402e-16,2.08731e-15
414,1.52348e-16,2.07835e-15
415,1.50749e-16,2.07273e-15
416,1.49916e-16,2.07217e-15
417,1.49143e-16,2.07166e-15
418,1.4772e-16,2.06647e-15
419,1.45834e-16,2.05819e-15
420,1.44247e-16,2.05217e-15
421,1.43288e-16,2.05047e-15
422,1.42484e-16,2.04957e-15
423,1.41221e-16,2.0452e-15
424,1.39509e-16,2.03765e-15
425,1.37913e-16,2.03104e-15
426,1.3682e-16,2.02804e-15
427,1.35992e-16,2.02677e-15
428,1.34904e-16,2.02338e-15
429,1.33387e-16,2.01677e-15
430,1.31796e-16,2.00966e-15
431,1.30549e-16,2.00513e-15
432,1.29644e-16,2.00305e-15
433,1.28691e-16,2.00042e-15
434,1.27387e-16,1.99501e-15
435,1.25853e-16,1.98781e-15
436,1.24457e-16,1.98172e-15
437,1.23392e-16,1.97815e-15
438,1.22469e-16,1.97557e-15
439,1.21359e-16,1.97139e-15
440,1.19954e-16,1.96479e-15
441,1.1847e-16,1.95754e-15
442,1.17186e-16,1.95191e-15
443,1.16146e-16,1.94819e-15
444,1.15128e-16,1.94456e-15
445,1.13893e-16,1.93905e-15
446,1.12436e-16,1.93165e-15
447,1.10972e-16,1.92417e-15
448,1.09698e-16,1.91826e-15
449,1.08596e-16,1.91378e-15
450,1.07466e-16,1.90899e-15
451,1.06137e-16,1.90241e-15
452,1.04636e-16,1.89428e-15
453,1.03145e-16,1.8862e-15
454,1.01814e-16,1.8795e-15
455,1.00619e-16,1.87398e-15
456,9.93957e-17,1.86817e-15
457,9.80079e-17,1.8608e-15
458,9.64762e-17,1.85204e-15
459,9.49479e-17,1.84324e-15
460,9.35526e-17,1.83561e-15
461,9.22849e-17,1.82914e-15
