wav,cscat,cabs
400,1.1769e-16,1.50224e-15
401,1.17549e-16,1.50427e-15
402,1.17859e-16,1.50872e-15
403,1.17048e-16,1.50558e-15
404,1.15283e-16,1.49656e-15
405,1.14014e-16,1.49128e-15
406,1.13776e-16,1.49275e-15
407,1.13562e-16,1.49394e-15
408,1.12422e-16,1.48877e-15
409,1.10768e-16,1.48046e-15
410,1.09657e-16,1.47611e-15
411,1.09283e-16,1.47664e-15
412,1.08813e-16,1.47614e-15
413,1.07625e-16,1.47056e-15
414,1.06113e-16,1.46297e-15
415,1.0506e-16,1.45879e-15
416,1.04573e-16,1.45845e-15
417,1.04013e-16,1.45726e-15
418,1.02899e-16,1.45201e-15
419,1.01511e-16,1.44496e-15
420,1.00459e-16,1.4405e-15
421,9.98801e-17,1.43936e-15
422,9.9311e-17,1.43803e-15
423,9.83237e-17,1.43346e-15
424,9.70508e-17,1.42687e-15
425,9.59718e-17,1.42187e-15
426,9.52971e-17,1.41987e-15
427,9.47374e-17,1.41851e-15
428,9.38949e-17,1.41481e-15
429,9.27463e-17,1.40879e-15
430,9.16378e-17,1.4032e-15
431,9.0847e-17,1.40011e-15
432,9.02646e-17,1.3985e-15
433,8.95523e-17,1.39567e-15
434,8.85494e-17,1.39046e-15
435,8.74403e-17,1.3845e-15
436,8.65182e-17,1.38011e-15
437,8.58463e-17,1.37769e-15
438,8.52051e-17,1.37537e-15
439,8.43564e-17,1.37121e-15
440,8.33048e-17,1.36539e-15
441,8.22734e-17,1.35981e-15
442,8.14454e-17,1.35598e-15
443,8.07701e-17,1.35335e-15
444,8.00337e-17,1.35006e-15
445,7.90963e-17,1.34497e-15
446,7.80324e-17,1.33883e-15
447,7.7037e-17,1.33335e-15
448,7.6215e-17,1.32941e-15
449,7.54802e-17,1.32614e-15
450,7.46559e-17,1.32197e-15
451,7.36596e-17,1.3162e-15
452,7.25785e-17,1.3097e-15
453,7.15705e-17,1.30392e-15
454,7.07039e-17,1.29945e-15
455,6.98967e-17,1.29545e-15
456,6.90074e-17,1.29058e-15
457,6.79761e-17,1.28431e-15
458,6.68765e-17,1.2774e-15
459,6.58375e-17,1.2711e-15
460,6.49187e-17,1.26595e-15
461,6.40608e-17,1.26133e-15
462,6.31498e-17,1.25609e-15
463,6.21279e-17,1.24966e-15
464,6.10439e-17,1.24255e-15
465,6.00036e-17,1.23587e-15
466,5.90721e-17,1.23028e-15
467,5.82208e-17,1.22543e-15
468,5.73611e-17,1.22037e-15
469,5.64298e-17,1.2144e-15
470,5.54451e-17,1.20772e-15
471,5.4488e-17,1.20122e-15
472,5.36308e-17,1.19571e-15
473,5.28779e-17,1.19124e-15
474,5.21697e-17,1.18712e-15
475,5.14404e-17,1.18256e-15
476,5.06766e-17,1.17735e-15
477,4.99282e-17,1.17203e-15
478,4.92656e-17,1.16745e-15
479,4.87225e-17,1.16404e-15
480,4.82736e-17,1.16153e-15
481,4.78609e-17,1.1592e-15
482,4.74457e-17,1.15647e-15
483,4.70409e-17,1.1534e-15
484,4.66993e-17,1.1506e-15
485,4.64714e-17,1.14873e-15
486,4.63666e-17,1.14799e-15
487,4.63496e-17,1.14798e-15
488,4.63716e-17,1.14802e-15
489,4.64098e-17,1.14765e-15
490,4.6484e-17,1.14698e-15
491,4.66393e-17,1.14655e-15
492,4.69101e-17,1.14686e-15
493,4.72937e-17,1.14801e-15
494,4.77529e-17,1.14957e-15
495,4.82442e-17,1.15089e-15
496,4.87483e-17,1.15154e-15
497,4.92811e-17,1.15156e-15
498,4.98779e-17,1.15134e-15
499,5.05632e-17,1.15132e-15
500,5.13303e-17,1.1516e-15
501,5.2143e-17,1.15184e-15
502,5.29588e-17,1.15146e-15
503,5.37547e-17,1.14999e-15
504,5.45383e-17,1.14738e-15
505,5.53367e-17,1.14391e-15
506,5.61723e-17,1.14002e-15
507,5.7043e-17,1.13592e-15
508,5.79194e-17,1.13147e-15
509,5.87618e-17,1.12624e-15
510,5.95431e-17,1.11981e-15
511,6.02627e-17,1.11202e-15
512,6.09433e-17,1.10309e-15
513,6.16121e-17,1.09344e-15
514,6.22805e-17,1.08347e-15
515,6.29359e-17,1.07328e-15
516,6.35488e-17,1.0627e-15
517,6.40917e-17,1.05137e-15
518,6.45567e-17,1.03905e-15
519,6.49602e-17,1.02578e-15
520,6.5333e-17,1.01188e-15
521,6.5702e-17,9.97791e-16
522,6.60753e-17,9.83859e-16
523,6.64401e-17,9.70155e-16
524,6.67728e-17,9.56493e-16
525,6.70567e-17,9.42586e-16
526,6.72941e-17,9.28259e-16
527,6.75075e-17,9.13578e-16
528,6.77283e-17,8.98845e-16
529,6.79811e-17,8.84447e-16
530,6.82716e-17,8.70663e-16
531,6.85864e-17,8.57537e-16
532,6.89036e-17,8.44888e-16
533,6.92075e-17,8.32434e-16
534,6.94997e-17,8.19975e-16
535,6.97994e-17,8.07513e-16
536,7.01339e-17,7.95261e-16
537,7.05246e-17,7.83527e-16
538,7.09764e-17,7.72559e-16
539,7.14761e-17,7.62418e-16
540,7.20011e-17,7.52959e-16
541,7.25324e-17,7.43914e-16
542,7.30654e-17,7.3504e-16
543,7.36131e-17,7.26248e-16
544,7.41991e-17,7.17638e-16
545,7.48455e-17,7.09447e-16
546,7.55618e-17,7.0192e-16
547,7.63401e-17,6.95184e-16
548,7.71598e-17,6.89184e-16
549,7.79984e-17,6.83714e-16
550,7.88432e-17,6.78519e-16
551,7.96975e-17,6.73421e-16
552,8.05793e-17,6.68396e-16
553,8.15115e-17,6.6358e-16
554,8.25115e-17,6.59195e-16
555,8.35817e-17,6.55434e-16
556,8.47093e-17,6.5237e-16
557,8.58725e-17,6.49914e-16
558,8.70508e-17,6.47865e-16
559,8.82352e-17,6.45997e-16
560,8.9432e-17,6.44162e-16
561,9.066e-17,6.42351e-16
562,9.19412e-17,6.40687e-16
563,9.32907e-17,6.39362e-16
564,9.47094e-17,6.38542e-16
565,9.61842e-17,6.38284e-16
566,9.76932e-17,6.38509e-16
567,9.92164e-17,6.39031e-16
568,1.00744e-16,6.39635e-16
569,1.02281e-16,6.40161e-16
570,1.03844e-16,6.40562e-16
571,1.05455e-16,6.40911e-16
572,1.07131e-16,6.41356e-16
573,1.08877e-16,6.42045e-16
574,1.10682e-16,6.4305e-16
575,1.12529e-16,6.44333e-16
