eres,linewidth,imax,width,length
2.05621744,0.142561782,0.216727802,30.78983333,67.70866667
2.094069782,0.15143276,0.185595297,32.4194,64.547
2.053362823,0.138860721,0.286961144,32.78316667,69.564
2.028027688,0.135566442,0.307735801,26.893,60.98175
2.047677741,0.142617442,0.209378877,29.771,67.388
2.016969228,0.129087264,0.290173901,30.402,63.04
1.995214536,0.119536392,0.337478816,26.73025,63.057
2.030811418,0.131198426,0.302200496,29.0256,63.263
2.039209285,0.13409175,0.290157334,27.84866667,61.297
2.040615799,0.135523738,0.318369133,30.514,59.0655
1.979207877,0.115872596,0.376548487,25.27371429,62.03933333
1.967372346,0.109552728,0.474048588,31.33975,72.1185
2.014223684,0.124250458,0.336323618,30.51266667,63.96733333
2.039209285,0.130467218,0.246311099,26.7338,57.56366667
2.037804743,0.130906828,0.256824378,28.35,61.08333333
2.040615799,0.136907179,0.175171155,28.9638,61.10333333
2.040615799,0.134007531,0.225566442,30.571,62.38
2.053362823,0.137826064,0.179650092,28.7412,60.775
2.040615799,0.137017835,0.232552718,26.2032,60.72933333
1.983185059,0.118793865,0.414124642,26.7795,62.35166667
1.993870694,0.123725604,0.390301442,26.0882,63.58733333
2.043434655,0.143020362,0.321581162,30.55925,58.65033333
2.083740997,0.145943301,0.136003937,33.315,61.47866667
2.083740997,0.149148481,0.173111196,28.23966667,53.98466667
2.026638667,0.130685988,0.317577276,29.60333333,61.92566667
2.023866357,0.127705121,0.229220351,24.66366667,61.05733333
