 ,Area,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2992.507,102.834,30.011,88.68,106.442,1891,511,85.629,30.992
2,2712.381,94.708,29.536,94.821,97.628,1991,241,94.368,30.448
3,2002.583,72.483,28.49,17.771,75.896,1644,353,19.242,30.931
4,2365.536,81.992,29.75,173.243,85.659,1507,408,172.062,31.869
5,2538.273,77.916,33.59,151.382,82.763,1368,416,150.923,35.074
6,2559.294,86.295,30.586,173.767,88.927,2060,478,174.766,31.475
7,2155.099,76.701,28.977,78.831,80.257,1226,673,75.613,30.638
8,4215.261,151.337,28.726,35.77,154.181,839,764,35.362,30.754
9,3214.483,113.438,29.223,80.097,116.748,1325,826,80.838,30.242
10,2295.162,75.82,31.217,65.17,80.6,1843,724,67.306,32.853
11,3687.682,132.595,28.68,172.169,135.712,2002,557,172.415,29.656
12,2497.374,87.977,29.275,79.557,91.546,1432,808,79.146,30.626
13,2499.088,88.521,29.115,81.779,92.736,1533,832,78.649,30.067
14,2356.168,82.301,29.525,159.24,86.154,612,619,160.996,30.859
15,1972.194,75.762,26.846,88.188,79.456,1778,826,88.537,28.156
16,2605.906,89.808,29.92,137.451,93.996,2423,600,132.814,31.592
17,2484.007,83.755,30.586,39.982,87.099,978,789,38.382,31.735
18,2201.025,76.638,29.61,173.686,80.075,2027,660,172.725,30.807
19,2654.231,96.818,28.273,159.039,99.861,547,699,158.559,29.472
20,2338.346,88.952,27.11,49.588,92.701,349,913,50.622,28.213
21,2183.203,83.469,26.974,42.838,86.597,1826,884,40.092,28.774
22,2353.426,79.74,30.43,24.22,84.363,176,848,27.694,33.167
23,1674.931,70.543,24.487,37.723,73.806,2304,865,32.089,25.552
24,2177.948,76.821,29.239,170.596,81.8,2026,753,168.319,30.699
25,2589.569,88.58,30.147,136.551,92.657,1616,753,138.401,32.373
26,2407.35,89.75,27.663,50.877,93.706,424,980,52.179,29.175
27,2643.835,90.403,30.16,38.563,95.448,2332,971,34.759,31.316
28,1868.346,77.441,24.881,158.276,80.49,583,837,160.88,26.612
29,2684.163,95.892,28.868,44.483,100.722,1826,1016,42.416,29.997
30,2503.315,91.501,28.21,34.105,94.891,2447,987,30.859,29.249
31,2218.047,72.939,31.362,134.267,77.242,1571,837,133.05,32.994
32,3019.697,105.143,29.61,59.63,108.925,149,1112,59.616,30.536
33,2307.158,80.904,29.41,172.502,84.802,2079,877,171.289,30.618
34,2231.757,76.004,30.283,58.93,79.777,67,1058,56.579,31.473
35,2495.203,88.706,29.009,155.941,92.457,527,904,157.654,30.467
36,2540.558,90.432,28.972,37.722,94.542,2546,1078,38.468,30.501
37,2334.462,80.365,29.958,43.186,86.597,1899,1086,40.092,31.791
38,2398.553,86.646,28.548,59.865,91.498,231,1144,55.84,29.781
39,2442.08,88.322,28.515,171.026,91.981,2091,983,172.823,29.578
40,2574.489,88.481,30.007,56.343,91.71,1649,1198,54.904,31.382
41,2006.81,70.197,29.48,50.008,74.701,2314,1164,53.649,31.776
42,2343.03,84.428,28.62,120.963,87.37,2759,986,119.937,29.583
43,1737.994,67.374,26.6,59.802,70.463,352,1169,61.96,28.969
44,2671.253,94.728,29.082,153.936,97.808,461,1046,150.157,31.023
45,1403.83,57.482,25.186,119.839,60.256,2679,1031,111.384,26.37
46,2395.125,83.299,29.654,46.114,87.974,2349,1233,43.755,30.987
47,2612.989,92.025,29.283,56.644,95.127,1724,1287,58.513,30.339
48,2188.572,78.074,28.909,51.163,82.206,2502,1288,52.518,30.761
49,2238.383,79.7,28.95,43.281,84.163,1931,1325,43.373,31.119
50,2139.447,77.096,28.619,5.196,81.171,2109,1246,12.995,30.4
51,2119.455,76.061,28.737,51.502,79.507,2553,1361,52.253,30.724
52,2222.16,78.5,29.191,74.598,82.064,2797,1446,78.598,30.178
53,2515.196,86.426,30.014,73.14,89.794,2873,1506,74.499,31.05
54,2664.627,96.82,28.383,85.08,100.578,2101,1561,82.469,30.555
55,2247.522,79.9,29.009,86.805,83.033,1782,1524,85.798,30.014
56,2216.562,85.546,26.721,86.585,88.56,2182,1540,78.776,27.897
57,2291.049,81.599,28.956,87.262,85.581,1878,1550,87.737,30.395
58,2390.67,87.155,28.289,90.246,89.985,1981,1592,87.632,29.068
59,2073.3,78.311,27.304,74.887,81.296,2959,1570,73.826,28.459
60,2145.731,73.747,30.006,72.378,78.154,2280,1582,72.897,32.336
61,2556.781,80.26,32.854,71.567,84.733,2355,1605,60.879,34.879
62,2578.487,92.791,28.658,70.393,96.356,2471,1644,67.303,29.828
63,2613.788,90.378,29.82,70.787,93.857,3019,1669,70.652,31.043
64,2485.835,86.155,29.756,138.93,89.637,2735,1460,139.282,31.015
65,2827.653,98.216,29.691,71.219,101.827,3111,1746,69.399,30.899
66,2457.845,87.901,28.836,71.495,91.584,3329,1731,69.023,29.839
67,1557.146,64.203,25.012,73.19,66.922,3255,1673,72.663,25.956
68,2513.368,87.146,29.744,19.489,90.696,1986,1663,21.881,31.051
69,2597.109,87.775,30.515,138.21,90.653,2701,1561,137.266,31.424
70,2391.812,90,27.407,156.97,94.72,2257,1597,155.996,29.34
71,1263.31,54.4347,23.934,71.952,57.21,3413,1747,66.312,25.051
72,2162.753,73.475,30.35,140.936,77.405,2924,1659,142.63,33.675
73,2313.784,82.48,28.931,147.13,86.847,2634,1695,148.042,30.467
74,2321.21,82.228,29.113,156.635,85.39,2233,1700,156.682,30.176
75,2169.151,71.269,31.389,41.716,75.174,3117,1833,39.344,34.022
76,2408.035,84.004,29.564,42.868,87.061,3206,1933,47.203,30.616
77,2206.966,77.567,29.343,144.33,81.884,2591,1775,144.407,31.37
78,2251.635,85.721,27,143.999,88.557,2474,1791,142.911,29.958
79,2638.694,92.702,29.355,125.19,96.389,2827,1844,128.879,31.359
80,2107.802,67.69,32.11,130.821,71.861,3068,1840,127.355,34.508
81,2400.152,86.278,28.69,139.876,89.368,2405,1869,143.303,29.713
82,2313.327,81.524,29.264,23.596,85.675,2621,2040,22.011,32.242
83,2216.676,77.729,29.411,127.517,81.575,3020,1926,124.875,30.985
84,2470.184,79.6,32,82.505,85.056,3274,2293,77.842,37.134
85,2753.509,98.739,28.76,160.871,103.636,2963,2120,157.366,30.392
86,2353.684,80.238,30.252,25.209,84.544,1116,443,26.986,31.205
87,2422.158,82.184,30.395,30.461,88.917,1166,585,31.056,31.8
88,3055.732,108.115,29.149,110.17,111.399,1363,543,109.385,29.949
89,2286.602,77.754,30.329,31.048,82.217,1937,736,32.293,31.949
90,3176.836,113.786,28.793,108.686,117.547,1252,600,111.65,29.439
91,2406.856,91.139,27.235,136.937,94.234,2392,621,132.728,28.342
92,3019.331,107.877,28.864,7.173,111.514,1526,798,7.16,29.861
93,3516.036,124.617,29.097,27.076,128.093,2020,946,25.175,30.425
94,2456.549,84.216,30.083,49.398,87.637,2606,975,48.472,32.311
95,2445.034,83.58,30.169,26.864,88.28,2250,979,25.758,31.544
96,2367.982,82.34,29.659,7.551,85.712,1552,914,10.654,30.544
97,2451.835,91.879,27.521,146.308,96.135,2796,836,138.752,30.02
98,2491.868,88.204,29.135,145.472,91.21,2692,966,149.605,30.489
99,2403.996,81.884,30.277,123.896,85.672,1472,941,122.813,31.856
100,3343.46,116.595,29.57,124.66,120.055,3096,954,124.242,30.653
101,2349.665,84.947,28.526,5.624,89.033,1618,1045,6.814,29.674
102,2589.4,91.954,29.042,179.933,95.091,1936,1027,178.995,30.024
103,3002.715,104.332,29.68,144.347,107.656,2585,1001,145.202,30.61
104,2446.889,80.24,31.447,29.653,83.866,1195,1175,30.475,34.107
105,2068.893,78.89,27.04,145.63,82.127,2477,1083,145.342,28.35
106,2511.421,89.74,28.862,124.004,94.171,3053,1065,120.123,29.99
107,2020.899,71.41,29.186,125.364,74.848,1843,1091,125.933,30.894
108,2287.375,85.81,27.491,17.3,88.88,854,1217,18.038,28.653
109,2753.706,99.253,28.613,124.906,103.701,1724,1101,121.517,29.653
110,2568.456,90.196,29.367,178.605,94.652,1975,1158,176.97,30.474
111,2611.272,77.906,34.568,146.009,82.198,2322,1159,145.611,35.988
112,3530.179,131.502,27.685,99.774,134.099,777,1125,100.029,28.43
113,2975.975,111.02,27.644,124.097,113.969,1444,1146,124.465,28.542
114,2491.482,78.156,32.876,125.315,82.9,2927,1158,124.756,34.971
115,2510.184,90.49,28.608,124.638,93.681,1629,1206,123.501,29.668
116,1904.51,81.51,24.096,178.899,83.985,2027,1279,178.483,24.826
117,2058.459,88.38,24.018,50.471,90.801,2454,1531,52.463,25.592
118,2106.453,78.47,27.684,101.224,81.686,678,1288,102.381,28.574
119,2124.383,78.277,27.989,73.01,82.116,2316,1575,70.829,29.794
120,2410.179,81.458,30.514,15.24,84.631,892,1432,15.041,31.365
121,2259.861,80.959,28.787,101.742,84.452,552,1316,101.199,29.558
122,2675.804,95.313,28.95,177.233,98.444,1955,1382,178.544,29.736
123,2255.224,76.393,30.4452,102.372,80.469,420,1343,110,31.429
124,1561.369,63.452,25.377,113.085,66.475,3737,1348,113.671,27.257
125,2522.782,89.973,28.91,43.983,93.503,2526,1603,41.987,30.122
126,2154.755,74.293,29.911,100.835,78.493,309,1371,103.101,31.369
127,4728.158,185.361,26.3,9.279,186.389,3056,1548,10.137,27.87
128,2599.37,97.835,27.401,45.318,101.321,2622,1682,42.665,29.093
129,2104.907,77.587,27.979,101.488,80.811,202,1440,102.315,28.896
130,1642.208,69.388,24.4,177.999,73.167,2017,1506,2.177,25.331
131,2027.082,78.399,26.666,10.359,82.131,3477,1589,9.941,29.021
132,2731.062,95.57,29.471,180,98.813,1541,1572,5.165,30.398
133,2387.457,83.965,29.324,9.175,88.159,3165,1639,11.274,30.99
134,2405.387,92.521,26.812,44.611,96.135,2831,1810,41.248,29.131
135,2473.011,87.665,29.093,178.695,93.458,2041,1621,178.125,30.709
136,2496.119,88.8,28.9,11.24,92.314,306,1727,14.831,31.64
137,2720.474,95.212,29.467,179.477,99.322,1589,1689,2.246,30.58
138,2268.363,76.309,30.656,63.726,80.315,2445,1891,63.258,31.882
139,2279.26,88.21,26.648,44.459,91.05,2932,1877,43.392,27.5
140,1615.545,69.822,23.862,44.023,72.4,3085,1876,49.828,25.558
141,2492.409,85.754,29.975,179.234,88.71,2096,1745,178.563,31.209
142,2416.362,80.8,30.841,66.792,84.922,2577,1991,67.885,32.333
143,2493.336,88.529,29.045,66.161,92.39,2664,2072,66.598,30.704
144,2603.08,91.249,29.421,177.623,94.93,2089,1864,176.978,30.215
145,1837.582,68.014,27.864,65.728,71.963,2784,2097,67.993,29.689
146,2801.72,98.276,29.401,32.26,102.376,3819,285,34.372,30.406
147,2483.436,83.329,30.735,79.85,87.351,3585,364,80.647,32.67
148,2174.292,82.258,27.26,31.883,86.067,3664,264,32.816,28.615
