wav,n,k
120.1964589,1.126620101,0.898838687
120.8903613,1.124382098,0.907024637
121.5882683,1.12223231,0.915711275
122.2902057,1.12020412,0.924913811
122.9961947,1.118333711,0.934645892
123.7062592,1.116660119,0.944919268
124.4204232,1.115225264,0.955743457
125.1387097,1.11407395,0.967125376
125.8611438,1.113253851,0.979068951
126.5877484,1.112815469,0.991574714
127.3185475,1.112812071,1.004639372
128.0535652,1.113299623,1.018255362
128.7928264,1.114336713,1.032410365
129.5363552,1.115984496,1.047086792
130.2841775,1.118306683,1.062261195
131.0363153,1.121369619,1.077903585
131.7927967,1.125242533,1.093976561
132.5536447,1.1299981,1.110434118
133.3188852,1.135713645,1.127219813
134.0885433,1.142473732,1.144263515
134.862645,1.150376535,1.161474314
135.6412162,1.159556385,1.178716888
136.424281,1.170116495,1.195592451
137.2118673,1.181674389,1.211889595
138.0040003,1.194107411,1.227671224
138.8007058,1.207366224,1.242935287
139.6020109,1.22141515,1.257658519
140.4079416,1.236221757,1.271806367
141.218526,1.251752262,1.285337463
142.0337898,1.267968941,1.298206521
142.8537593,1.284828569,1.3103667
143.6784634,1.302281572,1.321771775
144.5079282,1.320271805,1.332378183
145.3421815,1.338736902,1.34214694
146.1812514,1.357609159,1.351045284
147.025165,1.376816859,1.35904795
147.8739501,1.396285902,1.366137953
148.7276359,1.415941559,1.3723068
149.5862493,1.435710144,1.377554162
150.4498204,1.455520405,1.381887052
151.3183771,1.47530451,1.385318696
152.1919474,1.494998531,1.387867264
153.0705614,1.514542465,1.38955467
153.954247,1.533879875,1.390405613
154.8430343,1.552957289,1.390446954
155.7369532,1.571723534,1.389707483
156.6360328,1.590129161,1.388218022
157.540302,1.608126059,1.3860118
158.4497919,1.625667359,1.383124974
159.3645325,1.642707611,1.379597185
160.2845547,1.659203251,1.375472024
161.2098877,1.675113262,1.370797345
162.1405623,1.690399977,1.36562535
163.0766096,1.705029935,1.360012438
164.0180615,1.718974715,1.354018803
164.9649482,1.73221167,1.347707834
165.9173006,1.744724523,1.341145326
166.8751516,1.756503781,1.334398582
167.8385324,1.767546953,1.327535433
168.8074749,1.777858566,1.320623256
169.7820111,1.787449996,1.313728005
170.762174,1.796339124,1.306913326
171.7479946,1.804549863,1.300239762
172.739506,1.812111561,1.293764081
173.7367421,1.819058337,1.28753874
174.7397359,1.825428364,1.281611478
175.7485195,1.831263145,1.276025046
176.7631258,1.836606782,1.270817062
177.7835908,1.841505289,1.266019975
178.8099466,1.846005935,1.261661131
179.8422282,1.850156654,1.25776291
180.8804685,1.854005509,1.254342942
181.9247026,1.857600231,1.25141436
182.9749654,1.860987815,1.248986096
184.031291,1.86421419,1.247063192
185.0937154,1.867323948,1.245647132
186.1622736,1.870360127,1.244736163
187.2369996,1.87336405,1.244325623
188.3179313,1.876375204,1.244408249
189.4051019,1.879431167,1.244974475
190.4985502,1.882567557,1.24601271
191.5983104,1.88581802,1.247509594
192.7044193,1.889214233,1.249450237
193.8169141,1.892785928,1.251818436
194.9358307,1.896560933,1.254596868
196.0612081,1.900565216,1.257767267
197.1930814,1.904822948,1.261310586
198.3314895,1.909356558,1.265207133
199.4764704,1.914186802,1.269436699
200.6280601,1.919332825,1.273978672
201.7862987,1.92481223,1.278812136
202.9512232,1.930641143,1.283915961
204.1228735,1.936834271,1.289268884
205.3012877,1.943404972,1.294849587
206.4865057,1.950365309,1.300636761
207.6785646,1.95772611,1.306609173
208.8775064,1.965497026,1.31274573
