wav,absorbance
1100,0.04794649
1099,0.048309896
1098,0.048673429
1097,0.048980877
1096,0.049361445
1095,0.049754746
1094,0.049747605
1093,0.050212093
1092,0.050607208
1091,0.050996136
1090,0.051571753
1089,0.051902615
1088,0.05227603
1087,0.052686501
1086,0.053020496
1085,0.053405236
1084,0.053908266
1083,0.054293677
1082,0.05468915
1081,0.054984406
1080,0.055563133
1079,0.055899315
1078,0.05627171
1077,0.056732759
1076,0.057298608
1075,0.057629135
1074,0.058022626
1073,0.058545314
1072,0.059125129
1071,0.059409078
1070,0.06001142
1069,0.060472086
1068,0.06092529
1067,0.061551213
1066,0.061725143
1065,0.062121648
1064,0.062700883
1063,0.063099988
1062,0.063628256
1061,0.064221561
1060,0.064730704
1059,0.065216348
1058,0.065738007
1057,0.066279754
1056,0.066763535
1055,0.067330949
1054,0.067889452
1053,0.068423517
1052,0.068946444
1051,0.069332384
1050,0.06998013
1049,0.070539102
1048,0.071113177
1047,0.07165239
1046,0.072233409
1045,0.072801776
1044,0.073398016
1043,0.074096806
1042,0.07469894
1041,0.075536422
1040,0.075702019
1039,0.076287538
1038,0.076979868
1037,0.077619635
1036,0.078222461
1035,0.078948937
1034,0.079579361
1033,0.080202572
1032,0.081010126
1031,0.081636615
1030,0.082237639
1029,0.082905971
1028,0.083609976
1027,0.08424592
1026,0.085022211
1025,0.085813209
1024,0.086452261
1023,0.087143503
1022,0.087824121
1021,0.088636339
1020,0.089479975
1019,0.090329491
1018,0.090947174
1017,0.091461644
1016,0.092360772
1015,0.093035035
1014,0.093945555
1013,0.094712004
1012,0.095563017
1011,0.096379347
1010,0.097207956
1009,0.09795323
1008,0.098726824
1007,0.099747494
1006,0.100560799
1005,0.101489119
1004,0.102316119
1003,0.103219867
1002,0.10412731
1001,0.105023466
1000,0.106059723
999,0.107013993
998,0.107887991
997,0.108804621
996,0.109852947
995,0.110806681
994,0.111778684
993,0.112757631
992,0.113867097
991,0.114719749
990,0.115864731
989,0.116874456
988,0.118040159
987,0.119229741
986,0.120240703
985,0.121339701
984,0.122387879
983,0.123503991
982,0.124683991
981,0.125866443
980,0.12695697
979,0.128082708
978,0.129315421
977,0.130595923
976,0.131904364
975,0.133114904
974,0.134431228
973,0.135749176
972,0.136909559
971,0.13839826
970,0.13959986
969,0.140907034
968,0.142586425
967,0.143563062
966,0.144981489
965,0.146408036
964,0.148027867
963,0.149423808
962,0.150999636
961,0.152570248
960,0.154111132
959,0.155680791
958,0.157238752
957,0.158944845
956,0.160711229
955,0.1624033
954,0.164091438
953,0.166148871
952,0.167852491
951,0.169580758
950,0.17139037
949,0.173207149
948,0.175083131
947,0.176857546
946,0.178731978
945,0.18075408
944,0.182688445
943,0.184756726
942,0.186645269
941,0.188667059
940,0.190892473
939,0.193001241
938,0.195182756
937,0.197406381
936,0.199494466
935,0.201841295
934,0.20421575
933,0.206531078
932,0.208888412
931,0.211476475
930,0.213774279
929,0.216330111
928,0.218933985
927,0.221427128
926,0.223997057
925,0.226817474
924,0.229627475
923,0.232189357
922,0.235028431
921,0.238051593
920,0.240796462
919,0.244026527
918,0.246646032
917,0.249743074
